Grafico_Velocidade_das_rodas
Time (Seconds),Velocidade_Roda_Direita (Degrees/Seconds),Velocidade_Roda_Esquerda (Degrees/Seconds)
79.850006,232.251297,113.987625
79.900002,231.189941,113.797852
79.950005,233.326645,114.665489
80.000000,232.843338,112.847427
80.050003,230.295670,113.931450
80.100006,233.726624,112.238586
80.150002,231.271301,112.861366
80.200005,233.087585,112.805496
80.250000,231.500656,113.025696
80.300003,230.776245,112.181625
80.350006,232.688156,112.393494
80.400002,231.739441,113.370895
80.450005,231.617462,113.021599
80.500000,231.630020,113.263939
80.550003,232.708679,112.617393
80.600006,232.155151,113.330185
80.650002,232.393387,113.348633
80.700005,231.566635,113.326500
80.750000,232.574554,113.431412
80.800003,231.340256,113.965805
80.850006,232.741425,113.404907
80.900002,232.058548,113.152191
80.950005,232.596909,113.391800
81.000000,231.949127,113.858437
81.050003,232.883362,113.574303
81.100006,232.967377,113.677299
81.150002,231.824539,114.372887
81.200005,233.110260,113.470558
81.250000,232.065247,114.046951
81.300003,232.411392,113.901329
81.350006,232.865738,113.359558
81.400002,231.561996,113.743416
81.450005,232.165024,113.671013
81.500000,233.146866,112.863686
81.550003,231.931641,113.488785
81.600006,231.835205,114.063339
81.650002,232.771210,113.778931
81.700005,232.040375,113.755981
81.750000,232.189682,114.201859
81.800003,233.328827,113.243446
81.850006,232.350876,113.440567
81.900002,231.987930,113.441521
81.950005,232.300201,113.985886
82.000000,232.343781,113.541786
82.050003,232.866425,113.461876
82.100006,232.704193,113.320763
82.150002,232.336807,113.782890
82.200005,232.368088,113.884933
82.250000,231.545731,114.430466
82.300003,232.274078,113.737198
82.350006,232.033005,113.503952
82.400002,232.981995,113.193718
82.450005,231.667038,113.784393
82.500000,232.649963,114.120682
82.550003,232.420273,113.877113
82.600006,232.496506,114.062386
82.650002,232.949066,113.368607
82.700005,233.023239,114.005211
82.750000,232.269867,114.313828
82.800003,232.024811,114.564827
82.850006,233.059448,113.428711
82.900002,231.603790,114.237541
82.950005,232.942245,113.308403
83.000000,232.099991,113.286407
83.050003,232.299927,113.810555
83.100006,232.164688,114.404305
83.150002,233.018738,113.504906
83.200005,231.409271,114.239899
83.250000,232.181900,113.562889
83.300003,232.777496,113.515289
83.350006,231.806931,113.537689
83.400002,230.904800,114.518639
83.450005,232.974747,113.929062
83.500000,232.200760,113.985474
83.550003,232.064011,113.515427
83.600006,231.293762,113.554626
83.650002,232.566086,113.506271
83.700005,232.901672,113.395622
83.750000,230.530823,113.376091
83.800003,227.539993,116.050926
83.850006,232.897903,113.845322
83.900002,232.337799,113.233337
83.950005,232.335495,112.999199
84.000000,233.034714,114.399658
84.050003,232.036423,113.799698
84.100006,231.847488,113.007668
84.150002,231.251495,113.830566
84.200005,233.025299,113.990944
84.250000,231.487961,113.647522
84.300003,233.040314,113.758438
84.350006,230.982254,113.013206
84.400002,231.142624,113.493431
84.450005,232.074265,113.798332
84.500000,232.001038,114.166344
84.550003,232.046173,113.673477
84.600006,231.551880,113.328957
84.650002,231.828918,112.873520
84.700005,231.971252,113.336060
84.750000,233.542480,113.575668
84.800003,230.471069,114.418510
84.850006,232.454834,113.761444
84.900002,232.452789,113.948044
84.950005,233.908844,113.672104
85.000000,232.625595,114.414825
85.050003,232.892517,113.950371
85.100006,232.299988,113.731529
85.150002,232.600449,113.892860
85.200005,230.872284,113.212433
85.250000,232.642197,113.515831
85.300003,231.947876,114.144073
85.350006,232.856094,114.081512
85.400002,232.759186,113.822922
85.450005,232.888931,113.419250
85.500000,231.457214,113.862328
85.550003,233.141739,113.894707
85.600006,232.071991,112.997078
85.650002,231.732208,113.896683
85.700005,231.701874,114.036156
85.750000,232.875717,113.870522
85.800003,233.305466,113.550987
85.850006,231.408585,113.047554
85.900002,232.843338,114.057274
85.950005,231.718002,114.179977
86.000000,230.967224,113.165512
86.050003,232.496368,113.492996
86.100006,232.064209,113.090721
86.150002,231.570465,113.367928
86.200005,231.751602,113.690552
86.250000,230.276276,113.763153
86.300003,232.554550,112.966141
86.350006,232.331619,114.134583
86.400002,234.555389,113.036079
86.450005,229.717438,113.726952
86.500000,232.003494,113.833572
86.550003,233.192230,113.804207
86.600006,231.456665,112.797981
86.650002,231.514374,113.122276
86.700005,233.299789,113.827698
86.750000,232.780273,114.027962
86.800003,232.751892,113.849281
86.850006,232.523819,113.373352
86.900002,231.381134,113.456276
86.950005,231.990433,113.216537
87.000000,233.605911,112.604416
87.050003,232.852768,112.889641
87.100006,231.541290,113.849968
87.150002,233.652359,114.242836
87.200005,232.607697,113.465836
87.250000,232.446503,112.793198
87.300003,230.742096,113.739861
87.350006,231.586441,114.072357
87.400002,229.916733,113.999138
87.450005,234.294617,113.047012
87.500000,231.797226,113.636116
87.550003,232.167969,114.320976
87.600006,230.320816,113.973183
87.650002,232.901855,113.395348
87.700005,230.698654,113.806252
87.750000,231.219116,113.817184
87.800003,231.682755,113.027885
87.850006,231.714722,114.061699
87.900002,233.500122,113.946136
87.950005,232.237091,113.415565
88.000000,231.034286,113.250275
88.050003,230.925690,112.775169
88.100006,232.682144,112.809868
88.150002,232.055954,112.970238
88.200005,232.455704,114.087379
88.250000,231.696823,112.804947
88.300003,231.432114,113.381554
88.350006,232.018417,113.224045
88.400002,231.578171,113.868950
88.450005,233.000244,112.841286
88.500000,232.994339,113.284286
88.550003,231.393204,112.886360
88.600006,231.992218,113.891014
88.650002,231.088928,114.288872
88.700005,232.850357,112.547241
88.750000,232.438034,113.078903
88.800003,233.318451,113.733856
88.850006,232.842789,112.990593
88.900002,230.475037,114.531281
88.950005,233.206161,113.283470
89.000000,231.797501,113.816406
89.050003,232.304565,113.728333
89.100006,231.867447,113.985008
89.150002,231.516373,114.067276
89.200005,232.518814,113.754852
89.250000,232.440079,114.212631
89.300003,232.542542,114.011772
89.350006,231.348892,114.017715
89.400002,232.340363,114.913017
89.450005,233.778534,113.623474
89.500000,232.364136,113.095367
89.550003,231.596695,113.709877
89.600006,232.722992,112.880486
89.650002,232.313171,113.716232
89.700005,231.859238,114.091751
89.750000,231.691269,113.981651
89.800003,233.066330,113.363380
89.850006,231.416245,113.795464
89.900002,231.807938,113.745872
89.950005,232.903137,113.533592
90.000000,233.881226,113.891220
90.050003,232.629852,112.811501
90.100006,232.043900,114.193794
90.150002,233.591293,114.189018
90.200005,232.512894,114.038483
90.250000,233.265366,113.640961
90.300003,232.569855,113.670197
90.350006,232.006775,113.662819
90.400002,232.323700,113.065315
90.450005,231.439865,114.389008
90.500000,232.439941,114.103226
90.550003,233.115723,113.694237
90.600006,232.024536,113.644791
90.650002,232.606461,113.700523
90.700005,233.337021,113.890472
90.750000,231.740173,114.052139
90.800003,230.552490,113.690689
90.850006,231.786575,113.644791
90.900002,231.612259,114.016075
90.950005,232.311951,113.265305
91.000000,231.764435,113.869362
91.050003,231.961151,113.326775
91.100006,229.990372,113.740410
91.150002,230.511230,113.725380
91.200005,231.768265,113.608452
91.250000,233.200150,113.763634
91.300003,231.293213,113.665962
91.350006,230.680634,113.240715
91.400002,231.681992,114.455254
91.450005,231.649033,113.371033
91.500000,231.225159,112.669846
91.550003,232.566422,113.225006
91.600006,231.226761,113.083206
91.650002,233.195496,113.368980
91.700005,233.508728,113.775650
91.750000,230.845093,114.076042
91.800003,233.073837,112.859245
91.850006,232.316040,113.379364
91.900002,231.618271,113.833160
91.950005,232.500458,113.111145
92.000000,231.871674,113.912086
92.050003,232.052399,113.421783
92.100006,232.496368,113.269608
92.150002,232.504288,113.704842
92.200005,230.724884,113.654053
92.250000,234.570831,113.671303
92.300003,231.881424,114.340149
92.350006,233.902557,113.124786
92.400002,232.802353,113.471008
92.450005,231.930283,114.249466
92.500000,231.987656,113.523277
92.550003,231.398071,113.724495
92.600006,234.241211,114.068123
92.650002,232.706467,113.357376
92.700005,232.731461,113.531609
92.750000,232.608383,113.167221
92.800003,232.454147,113.784531
92.850006,232.868057,113.231560
92.900002,231.880554,113.958153
92.950005,232.903030,113.353409
93.000000,232.412811,113.916763
93.050003,232.093414,113.806389
93.100006,232.173889,113.607224
93.150002,231.540771,114.089706
93.200005,231.896790,113.293854
93.250000,230.046707,113.817451
93.300003,231.195618,113.486603
93.350006,229.977936,113.005211
93.400002,231.444931,113.527306
93.450005,232.755508,112.677086
93.500000,231.724960,113.337975
93.550003,230.561096,113.122139
93.600006,231.618546,113.409554
93.650002,231.177597,113.351639
93.700005,232.169876,113.031166
93.750000,232.560287,113.103836
93.800003,231.685486,113.337975
93.850006,232.634933,113.298706
93.900002,231.522110,113.407097
93.950005,231.758698,113.861168
94.000000,232.219604,113.006302
94.050003,232.982941,113.383873
94.100006,233.510788,113.792320
94.150002,231.189880,113.942307
94.200005,231.465149,113.539604
94.250000,230.514923,114.374527
94.300003,231.531525,113.368576
94.350006,231.339188,113.395622
94.400002,232.528931,113.161484
94.450005,232.738419,113.038536
94.500000,231.850937,113.873322
94.550003,231.711609,112.611382
94.600006,232.961502,113.721283
94.650002,231.177292,113.616508
94.700005,232.225891,112.781723
94.750000,230.971451,113.193588
94.800003,232.492538,112.997421
94.850006,233.175690,112.919418
94.900002,232.235580,113.482910
94.950005,232.273972,114.249870
95.000000,232.233124,113.137917
95.050003,232.174393,113.137512
95.100006,232.387756,114.074539
95.150002,232.798264,113.194267
95.200005,232.920929,113.645775
95.250000,232.257309,113.304237
95.300003,231.599426,114.034790
95.350006,233.760223,113.586166
95.400002,232.634384,113.883263
95.450005,232.425873,113.326569
95.500000,230.431732,113.499641
95.550003,231.886017,113.380371
95.600006,231.436325,112.846817
95.650002,232.151855,113.958466
95.700005,232.782822,113.325203
95.750000,231.597504,113.328957
95.800003,233.061630,113.564194
95.850006,231.512680,113.616302
95.900002,234.228226,112.996399
95.950005,231.990295,113.540558
96.000000,231.092072,113.605858
96.050003,232.760803,114.093529
96.100006,232.144440,113.404907
96.150002,232.652908,113.504906
96.200005,231.758423,112.838821
96.250000,232.311981,114.253769
96.300003,232.148849,113.819504
96.350006,230.885529,113.070778
96.400002,232.772720,112.639381
96.450005,231.791946,113.389885
96.500000,231.676331,113.410103
96.550003,231.709930,113.486053
96.600006,230.836899,113.499443
96.650002,233.070511,113.565285
96.700005,232.509613,113.300270
96.750000,232.161682,113.895317
96.800003,232.714661,113.403000
96.850006,232.227249,113.118317
96.900002,232.984589,112.598404
96.950005,230.709366,113.723198
97.000000,231.187424,113.646423
97.050003,232.857819,112.643555
97.100006,231.685211,113.090446
97.150002,231.487137,114.647461
97.200005,232.832962,112.629822
97.250000,231.514587,112.991272
97.300003,232.276428,113.071327
97.350006,232.277252,113.320763
97.400002,232.686249,113.043732
97.450005,230.728714,113.403542
97.500000,232.556519,113.674294
97.550003,232.229446,110.224228
97.600006,231.972046,110.639915
97.650002,232.233047,111.476746
97.700005,231.201691,112.618210
97.750000,232.460541,113.553398
97.800003,232.580231,112.754814
97.850006,232.539429,111.181412
97.900002,231.666092,111.755554
97.950005,232.017700,113.019279
98.000000,232.131546,113.957611
98.050003,232.395691,113.233200
98.100006,232.980347,113.888969
98.150002,232.057861,113.767456
98.200005,232.226166,113.931931
98.250000,232.855225,113.798401
98.300003,231.879730,113.196999
98.350006,231.827545,113.593491
98.400002,232.743622,114.008354
98.450005,231.912521,114.178291
98.500000,232.405441,114.007996
98.550003,230.904114,113.957642
98.600006,231.204086,115.141449
98.650002,232.445267,111.945503
98.700005,231.046448,111.736641
98.750000,230.898926,113.594223
98.800003,231.491776,113.323799
98.850006,232.218369,113.385445
98.900002,231.719360,113.099876
98.950005,231.088531,113.114967
99.000000,231.162842,113.147141
99.050003,230.748245,112.595535
99.100006,230.782944,113.565697
99.150002,231.579178,111.842575
99.200005,232.041260,112.318771
99.250000,228.620667,111.922897
99.300003,232.372955,112.919418
99.350006,233.073730,113.267899
99.400002,230.890472,112.522720
99.450005,232.514313,111.642036
99.500000,232.260086,111.763618
99.550003,230.900558,111.314873
99.600006,229.727127,111.527290
99.650002,230.069183,111.384407
99.700005,231.428528,111.174988
99.750000,229.817017,111.236191
99.800003,231.355179,111.303398
99.850006,231.357635,111.442459
99.900002,231.254364,111.462677
99.950005,230.274918,111.163513
100.000000,230.509323,111.744629
100.050003,232.511993,111.310776
100.100006,230.897278,111.694359
100.150002,231.841492,112.748940
100.200005,232.204849,112.358604
100.250000,230.871597,111.900085
100.300003,230.371902,111.679878
100.350006,230.800430,111.808014
100.400002,231.619781,112.171928
100.450005,229.913589,112.401421
100.500000,231.609802,111.758018
100.550003,232.795532,112.578728
100.600006,230.895645,113.198639
100.650002,230.885117,112.043518
100.700005,231.441101,112.778442
100.750000,232.554749,113.043732
100.800003,231.291519,111.153816
100.850006,230.455887,111.736702
100.900002,232.873962,111.892845
100.950005,231.641800,111.300117
101.000000,231.010529,113.303001
101.050003,230.583633,113.358871
101.100006,230.474899,111.536583
101.150002,230.621201,111.246841
101.200005,232.703461,110.928284
101.250000,231.089203,110.937706
101.300003,230.808075,111.042213
101.350006,231.526749,111.102112
101.400002,230.871323,111.083397
101.450005,232.584061,111.124649
101.500000,231.280869,110.746399
101.550003,231.116394,110.708488
101.600006,230.209610,110.542343
101.650002,230.266220,110.517891
101.700005,230.697021,110.509148
101.750000,229.865646,112.527267
101.800003,231.995026,112.848701
101.850006,233.182114,112.159416
101.900002,231.941895,110.174194
101.950005,231.620193,110.198715
102.000000,232.241318,110.398567
102.050003,228.432266,111.308487
102.100006,232.037231,111.465851
102.150002,232.351013,110.088310
102.200005,232.158051,110.069595
102.250000,231.893448,109.995895
102.300003,230.863327,110.144928
102.350006,231.648514,112.573814
102.400002,231.961319,113.444801
102.450005,232.309082,113.946136
102.500000,231.296814,113.505043
102.550003,229.751556,113.120911
102.600006,230.878845,112.920517
102.650002,232.536392,113.310379
102.700005,232.393097,113.203690
102.750000,231.607758,113.426224
102.800003,230.029297,113.271721
102.850006,231.828369,113.002068
102.900002,231.022415,112.647583
102.950005,231.425934,112.816696
103.000000,232.829407,112.344048
103.050003,231.701050,111.184822
103.100006,231.307907,110.914894
103.150002,232.307846,111.042488
103.200005,231.001419,111.152863
103.250000,232.258667,111.267334
103.300003,231.563080,111.080185
103.350006,231.179504,110.821732
103.400002,231.670731,111.162422
103.450005,230.973373,110.946938
103.500000,231.788620,110.781029
103.550003,231.677017,110.915443
103.600006,230.193771,110.949867
103.650002,231.500107,110.942490
103.700005,231.117813,110.720375
103.750000,232.563904,110.748238
103.800003,231.374298,110.939484
103.850006,230.980804,110.793869
103.900002,231.828979,110.612457
103.950005,230.952606,110.662178
104.000000,231.335373,110.841675
104.050003,230.380402,110.840996
104.100006,231.481918,110.461784
104.150002,232.134232,110.631172
104.200005,232.101578,112.272194
104.250000,232.215637,113.590965
104.300003,232.505112,113.589600
104.350006,232.145706,114.181503
104.400002,231.442062,114.482170
104.450005,231.868393,113.837807
104.500000,234.245438,112.843330
104.550003,231.706253,114.143867
104.600006,232.138184,114.485512
104.650002,232.469315,113.968468
104.700005,232.122620,113.638710
104.750000,232.450790,113.286064
104.800003,233.260529,113.934555
104.850006,232.504837,113.704826
104.900002,232.974472,113.635056
104.950005,230.345947,114.232216
105.000000,232.187775,113.575233
105.050003,232.349655,113.956871
105.100006,232.311401,112.906868
105.150002,232.325333,112.684883
105.200005,232.699631,113.962730
105.250000,232.476822,113.744812
105.300003,230.329742,113.924652
105.350006,232.287415,113.292961
105.400002,231.646057,114.464752
105.450005,231.748489,113.510437
105.500000,232.474609,113.596771
105.550003,232.632889,110.679390
105.600006,231.656006,111.430573
105.650002,232.742630,110.963661
105.700005,232.563568,110.288429
105.750000,231.491913,111.673187
105.800003,232.811234,112.233536
105.850006,231.592178,111.451340
105.900002,231.691635,109.981346
105.950005,232.096115,110.228462
106.000000,232.492264,110.233521
106.050003,231.039352,112.412071
106.100006,232.284348,113.075699
106.150002,233.014633,113.215851
106.200005,232.800446,113.280052
106.250000,231.726471,113.315842
106.300003,232.003830,113.826469
106.350006,233.085129,113.517471
106.400002,232.356476,113.375954
106.450005,231.066666,113.886299
106.500000,233.126648,113.761719
106.550003,232.038467,113.222137
106.600006,232.700455,113.346992
106.650002,232.712875,113.223305
106.700005,232.848938,113.334694
106.750000,231.260376,113.933571
106.800003,232.797714,113.528130
106.850006,233.603180,112.942368
106.900002,231.300446,114.195297
106.950005,232.514832,113.428406
107.000000,232.765442,113.166397
107.050003,232.035797,113.988205
107.100006,232.034348,114.102959
107.150002,232.781845,113.659538
107.200005,232.091476,113.740685
107.250000,232.839371,112.946877
107.300003,232.039017,113.379089
107.350006,232.194473,113.801468
107.400002,232.631195,113.509003
107.450005,232.887604,113.670471
107.500000,232.501556,113.909386
107.550003,231.850098,113.789589
107.600006,232.464676,113.297401
107.650002,232.629684,113.847374
107.700005,232.331894,113.821281
107.750000,232.920929,113.319878
107.800003,232.067703,113.580238
107.850006,232.506256,112.541779
107.900002,232.379150,113.757828
107.950005,232.256210,113.698059
108.000000,231.874268,113.563164
108.050003,232.971466,113.848495
108.100006,232.135178,114.284706
108.150002,232.709732,113.969498
108.200005,232.151031,113.817909
108.250000,232.191055,114.123238
108.300003,232.657425,114.094261
108.350006,232.382767,114.418549
108.400002,231.581253,114.093018
108.450005,233.201096,113.785622
108.500000,231.746292,114.319679
108.550003,232.300232,113.924896
108.600006,232.628983,114.109100
108.650002,233.333984,114.039093
108.700005,232.620239,113.782692
108.750000,232.298401,114.048042
108.800003,232.337494,113.713501
108.850006,231.563354,114.031509
108.900002,233.340988,114.166748
108.950005,232.510025,113.806114
109.000000,231.582901,113.525940
109.050003,232.302109,113.218994
109.100006,232.461807,113.820457
109.150002,232.210861,113.491241
109.200005,232.920654,114.264694
109.250000,230.417801,114.187515
109.300003,233.685364,113.300270
109.350006,232.491165,113.613914
109.400002,233.107315,113.622108
109.450005,231.201080,113.952415
109.500000,232.310303,114.401024
109.550003,233.073105,114.713577
109.600006,232.267410,114.417419
109.650002,233.706680,113.917725
109.700005,232.059509,113.845322
109.750000,232.135452,113.854881
109.800003,231.524292,114.165596
109.850006,231.629333,113.830841
109.900002,233.369583,113.540695
109.950005,232.276566,113.677574
110.000000,232.701050,113.359009
110.050003,232.243561,113.996132
110.100006,232.307907,113.669373
110.150002,230.933868,113.801605
110.200005,234.553040,113.431412
110.250000,231.477005,114.152679
110.300003,231.977509,112.650040
110.350006,230.137619,113.269943
110.400002,231.910736,113.771965
110.450005,230.218765,113.986160
110.500000,233.162582,113.652435
110.550003,233.384964,113.708580
110.600006,230.088455,115.310257
110.650002,233.243591,114.055824
110.700005,232.888412,113.500122
110.750000,229.622223,114.266747
110.800003,232.436264,112.226837
110.850006,230.477081,112.512482
110.900002,231.209290,113.467339
110.950005,232.717163,113.054726
111.000000,232.102402,112.756660
111.050003,232.479431,113.230949
111.100006,231.445602,113.989578
111.150002,232.399643,113.052811
111.200005,233.187439,112.860611
111.250000,230.495667,112.721855
111.300003,231.152313,113.746910
111.350006,231.755020,113.380180
111.400002,231.577164,113.054108
111.450005,231.948502,113.245247
111.500000,231.012024,113.483597
111.550003,230.531723,113.816841
111.600006,231.207565,113.553535
111.650002,231.793488,114.133217
111.700005,232.277847,112.827965
111.750000,232.250610,112.889023
111.800003,231.339874,113.069756
111.850006,232.918503,112.803650
111.900002,231.988388,113.863899
111.950005,231.371979,113.289757
112.000000,232.310043,113.174873
112.050003,232.122482,112.907402
112.100006,231.982193,113.986160
112.150002,231.373215,112.124794
112.200005,231.751190,111.253944
112.250000,230.704941,110.999588
112.300003,230.697845,110.791000
112.350006,231.365280,110.911484
112.400002,231.962509,110.742775
112.450005,231.752686,111.034836
112.500000,231.088028,110.932655
112.550003,230.664780,111.005058
112.600006,231.064209,110.975006
112.650002,230.462067,111.051224
112.700005,230.966949,110.842773
112.750000,230.178467,110.636497
112.800003,231.067902,111.051224
112.850006,230.541290,111.148216
112.900002,231.101776,110.834030
112.950005,231.872910,110.635948
113.000000,230.026291,110.880272
113.050003,232.709869,110.617104
113.100006,230.075195,110.623932
113.150002,231.390747,110.890305
113.200005,230.639542,110.871727
113.250000,231.333511,110.682671
113.300003,230.261658,110.828018
113.350006,231.174255,111.079918
113.400002,230.786774,110.743324
113.450005,230.768600,111.007240
113.500000,231.046448,110.735947
113.550003,231.049728,111.056694
113.600006,231.907745,110.965439
113.650002,230.929382,110.909981
113.700005,231.180862,110.736900
113.750000,231.894211,110.942764
113.800003,230.678436,110.572975
113.850006,230.360428,110.619286
113.900002,232.412491,110.814629
113.950005,232.081909,110.641685
114.000000,230.408234,110.733490
114.050003,230.278519,110.443748
114.100006,231.452713,110.459732
114.150002,230.382278,110.391907
114.200005,231.427841,110.590599
114.250000,231.135788,110.509727
114.300003,231.292343,111.727074
114.350006,232.918610,113.841667
114.400002,231.643280,114.367828
114.450005,232.424789,113.308434
114.500000,232.190231,113.643417
114.550003,231.380035,113.658714
114.600006,233.143860,114.094749
114.650002,230.943451,114.115776
114.700005,233.728149,113.640190
114.750000,231.977844,113.405777
114.800003,232.179276,113.571053
114.850006,230.779495,113.899796
114.900002,232.295425,113.487762
114.950005,232.083847,113.995041
115.000000,231.899872,114.085747
115.050003,231.643005,113.801674
115.100006,233.041687,113.692253
115.150002,231.699005,113.661728
115.200005,231.934784,113.895042
115.250000,232.804138,113.227600
115.300003,231.962784,113.099464
115.350006,232.796066,113.586594
115.400002,232.107040,113.850510
115.450005,232.037918,113.517197
115.500000,232.256760,112.534332
115.550003,231.633850,113.918678
115.600006,231.181198,114.010338
115.650002,232.957260,114.005150
115.700005,232.238449,114.106506
115.750000,232.808640,113.585777
115.800003,232.311127,113.884666
115.850006,233.544113,112.889915
115.900002,229.971512,114.115250
115.950005,232.836777,113.021057
116.000000,231.510910,113.393982
116.050003,232.869019,113.709267
116.100006,232.884857,113.822098
116.150002,231.682755,113.741776
116.200005,230.537247,113.752502
116.250000,232.585342,114.284912
116.300003,232.530624,113.288254
116.350006,231.313232,114.248299
116.400002,233.407486,113.082802
116.450005,233.298645,113.417755
116.500000,229.803528,114.363594
116.550003,232.078964,114.084106
116.600006,231.404678,114.212784
116.650002,234.070724,113.237160
116.700005,231.601608,113.658997
116.750000,232.269196,114.190247
116.800003,233.360519,113.015182
116.850006,230.809311,113.726204
116.900002,234.117035,114.074135
116.950005,230.947556,113.599846
117.000000,231.230865,114.029877
117.050003,232.642807,113.785080
117.100006,233.005890,113.738907
117.150002,231.902191,113.719238
117.200005,232.467957,112.586655
117.250000,232.709732,112.954529
117.300003,232.124252,114.173851
117.350006,232.353195,113.659607
117.400002,232.753174,113.174736
117.450005,232.059372,113.881729
117.500000,232.615067,113.535980
117.550003,232.759460,113.472328
117.600006,231.455856,114.285118
117.650002,232.162094,113.900955
117.700005,231.515961,113.407616
117.750000,232.157913,113.387268
117.800003,231.927429,113.940285
117.850006,231.910355,114.140640
117.900002,232.705688,114.023010
117.950005,232.663208,113.616272
118.000000,232.418686,113.491959
118.050003,231.887909,113.704315
118.100006,232.413910,113.862602
118.150002,232.360229,113.757347
118.200005,232.663025,113.593079
118.250000,231.451202,114.049477
118.300003,234.067581,113.738770
118.350006,232.337219,113.983429
118.400002,232.411392,114.006790
118.450005,232.488434,113.698608
118.500000,232.065521,114.088066
118.550003,232.460297,113.731941
118.600006,232.555649,113.695877
118.650002,232.178619,113.922363
118.700005,232.355713,113.986572
118.750000,232.217972,113.117905
118.800003,230.940170,114.072632
118.850006,231.723465,113.920723
118.900002,232.529968,113.893951
118.950005,232.693069,113.927010
119.000000,231.904465,113.595062
119.050003,232.837189,113.761444
119.100006,232.322876,113.820457
119.150002,232.297333,113.922363
119.200005,231.892578,114.398567
119.250000,231.900085,114.054871
119.300003,232.018799,113.595886
119.350006,232.437592,113.300072
119.400002,232.040436,113.694786
119.450005,231.715256,114.719315
119.500000,232.831528,114.032471
119.550003,232.384491,113.694786
119.600006,233.187088,113.885483
119.650002,232.151215,113.810349
119.700005,231.488358,114.958641
119.750000,232.105820,114.763023
119.800003,233.534149,113.638779
119.850006,232.147614,113.477036
119.900002,232.137909,113.786308
119.950005,230.889221,113.730988
120.000000,232.155945,113.364746
120.050003,232.609192,113.293716
120.100006,232.552917,113.481956
120.150002,232.502380,114.147217
120.200005,232.039291,113.932747
120.250000,231.877869,114.042580
120.300003,230.205795,113.515831
120.350006,233.104523,113.345215
120.400002,233.106430,113.407913
